 Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
36	Ryanne Brown	us USA	FW	Reign	27-080	1999	3	0	9	0.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
37	Jane Campbell	us USA	GK	Houston Dash	31-053	1995	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
38	Alba Caño	es ESP	MF	Boston Legacy	22-193	2003	4	4	323	3.6	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
39	Sofia Cantore	it ITA	FW	Washington Spirit	26-193	1999	5	4	293	3.3	1	0	1	1	0	0	0	0	0.31	0.00	0.31	0.31	0.31	Matches
40	Jorelyn Carabalí	co COL	DF	Boston Legacy	28-328	1997	4	4	360	4.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
41	Gabrielle Carle	ca CAN	DF	Washington Spirit	27-181	1998	2	2	173	1.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
42	Jess Carter	eng ENG	DF	Gotham FC	28-166	1997	5	5	423	4.7	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
43	Kyra Carusa	ie IRL	FW	Current	30-148	1995	2	0	26	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
44	Seven Castain	us USA	MF	Orlando Pride	21-350	2004	3	2	155	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
45	Deyna Castellanos	ve VEN	FW,MF	Portland Thorns	26-358	1999	2	0	67	0.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
46	Sofía Cedeño	us USA	MF	Reign	19-244	2006	1	0	13	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
47	Ivonne Chacón	co COL	FW	Chicago Stars	28-181	1997	3	1	130	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
48	Allysha Chapman	ca CAN	DF	Houston Dash	37-076	1989	2	0	14	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
49	Temwa Chaŵinga	mw MWI	MF	Current	27-203	1998	1	1	40	0.4	0	1	1	0	0	0	0	0	0.00	2.25	2.25	0.00	2.25	Matches
