 Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
153	Clarissa Larisey	ca CAN	FW	Houston Dash	26-283	1999	4	0	68	0.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
154	Rose Lavelle	us USA	MF	Gotham FC	30-332	1995	5	4	404	4.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
155	Karlie Lema	us USA	MF,FW	Bay FC	22-286	2003	4	2	160	1.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
156	Ally Lemos	us USA	MF	Orlando Pride	22-038	2004	5	5	404	4.5	0	1	1	0	0	0	0	0	0.00	0.22	0.22	0.00	0.22	Matches
157	Payton Linnehan	us USA	MF	NC Courage	25-017	2001	2	1	83	0.9	0	1	1	0	0	0	0	0	0.00	1.08	1.08	0.00	1.08	Matches
158	Maitane López Millán	es ESP	MF	Chicago Stars	31-029	1995	4	4	328	3.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
159	Lorena	br BRA	GK	Current	28-340	1997	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
160	Luana	br BRA	MF	Orlando Pride	32-344	1993	2	0	44	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
161	Ludmila	br BRA	FW	SD Wave	31-131	1994	5	5	416	4.6	1	0	1	1	0	0	0	0	0.22	0.00	0.22	0.22	0.22	Matches
162	Katie Lund	us USA	GK	Chicago Stars	29-135	1996	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
163	Devin Lynch	us USA	MF	Denver Summit	22-128	2003	5	5	414	4.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
164	Hailie Mace	us USA	DF	Orlando Pride	29-018	1997	5	5	430	4.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
165	Sandy MacIver	sct SCO	GK	Washington Spirit	27-297	1998	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
166	Maiara	br BRA	MF	Angel City FC	21-243	2004	4	4	354	3.9	1	0	1	1	0	0	0	0	0.25	0.00	0.25	0.25	0.25	Matches
167	Marta	br BRA	FW,MF	Orlando Pride	40-051	1986	3	0	45	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
168	Nealy Martin	us USA	MF	Angel City FC	27-354	1998	4	4	317	3.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
169	Claudia Martínez	py PAR	FW	Washington Spirit	18-086	2008	5	0	134	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
170	Emily Mason	us USA	DF	Reign	23-170	2002	5	5	427	4.7	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
171	Manaka Matsukubo	jp JPN	MF	NC Courage	21-257	2004	2	1	140	1.6	2	0	2	2	0	0	0	0	1.29	0.00	1.29	1.29	1.29	Matches
172	Ainsley McCammon	us USA	MF	Reign	18-238	2007	5	3	269	3.0	0	1	1	0	0	0	0	0	0.00	0.33	0.33	0.00	0.33	Matches
173	Savannah McCaskill	us USA	MF	Gotham FC	29-254	1996	5	5	413	4.6	0	1	1	0	0	0	0	0	0.00	0.22	0.22	0.00	0.22	Matches
174	Phoebe McClernon	us USA	DF	Reign	28-119	1997	5	5	430	4.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
175	Yuna McCormack	us USA	MF	Denver Summit	21-159	2004	5	4	301	3.3	0	1	1	0	0	0	0	0	0.00	0.30	0.30	0.00	0.30	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
176	Haley McCutcheon	us USA	MF	Orlando Pride	30-048	1996	5	5	450	5.0	2	1	3	2	0	0	0	0	0.40	0.20	0.60	0.40	0.60	Matches
177	Audrey McKeen	us USA	FW	Racing Louisville	17-136	2008	4	0	50	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
178	Mallie McKenzie	us USA	MF	Portland Thorns	25-149	2000	2	0	57	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
179	Tara McKeown	us USA	DF	Washington Spirit	26-283	1999	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
180	Quincy McMahon	us USA	DF	Racing Louisville	22-197	2003	1	1	88	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
181	Kristen McNabb	us USA	DF	SD Wave	31-359	1994	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
182	Natalie Means	us USA	DF	Denver Summit	22-150	2003	4	0	57	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
183	Sally Menti	us USA	MF	Reign	24-032	2002	3	0	71	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
184	Maddie Mercado	us USA	FW	Reign	25-010	2001	5	4	390	4.3	2	0	2	2	0	0	1	0	0.46	0.00	0.46	0.46	0.46	Matches
185	Morgan Messner	us USA	GK	Portland Thorns	26-053	2000	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
186	Paige Metayer	us USA	MF	Washington Spirit	25-200	2000	3	0	98	1.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
187	Samantha Meza	us USA	MF	Reign	24-155	2001	5	5	426	4.7	0	1	1	0	0	0	0	0	0.00	0.21	0.21	0.00	0.21	Matches
188	Tatumn Milazzo	us USA	DF	Royals	27-359	1998	4	4	335	3.7	2	0	2	2	0	0	2	1	0.54	0.00	0.54	0.54	0.54	Matches
189	Lauren Milliet	us USA	DF	Racing Louisville	29-131	1996	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
190	Gift Monday	ng NGA	FW	Washington Spirit	24-123	2001	4	1	101	1.1	1	0	1	1	0	0	0	0	0.89	0.00	0.89	0.89	0.89	Matches
191	Nérilia Mondésir	ht HAI	MF	Reign	27-084	1999	5	4	356	4.0	1	2	3	1	0	0	0	0	0.25	0.51	0.76	0.25	0.76	Matches
192	Anna Moorhouse	eng ENG	GK	Orlando Pride	31-012	1995	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
193	Madeline Moreau	us USA	DF	Bay FC	25-127	2000	4	2	205	2.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
194	Esme Morgan	eng ENG	DF	Washington Spirit	25-175	2000	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
195	Miyabi Moriya	jp JPN	DF	Royals	29-232	1996	3	1	147	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
196	Perle Morroni	fr FRA	DF	SD Wave	28-178	1997	5	5	440	4.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
197	Olivia Moultrie	us USA	MF,FW	Portland Thorns	20-206	2005	5	5	450	5.0	3	1	4	2	1	1	1	0	0.60	0.20	0.80	0.40	0.60	Matches
198	Brecken Mozingo	us USA	MF,FW	Royals	25-034	2001	4	2	197	2.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
199	Marie Müller	de GER	DF	Portland Thorns	25-260	2000	4	2	200	2.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
200	Casey Murphy	us USA	GK	Boston Legacy	29-351	1996	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
201	Alyssa Naeher	us USA	GK	Chicago Stars	37-356	1988	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
202	Aria Nagai		MF	Royals			3	1	68	0.8	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
203	Fauzia Najjemba	ug UGA	MF	Boston Legacy	22-186	2003	3	1	132	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
204	Leilanni Nesbeth	bm BER	MF	Chicago Stars	24-268	2001	2	0	34	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
205	Paige Nielsen	us USA	DF	Houston Dash	32-179	1993	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
206	Isabella Obaze	dk DEN	DF	Portland Thorns	23-163	2002	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
207	Ayo Oke	us USA	DF	Denver Summit	23-006	2003	4	2	216	2.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
208	Bárbara Olivieri	ve VEN	MF,FW	Boston Legacy	24-046	2002	4	3	239	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
209	Lizbeth Ovalle	mx MEX	MF	Orlando Pride	26-174	1999	5	5	376	4.2	1	2	3	1	0	0	0	0	0.24	0.48	0.72	0.24	0.72	Matches
210	Katie O’Kane		MF	Racing Louisville			4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
211	Maddie Padelski	us USA	FW	Portland Thorns	18-194	2007	3	0	75	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
212	Kiana Palacios	mx MEX	FW	Royals	29-192	1996	5	4	337	3.7	0	1	1	0	0	0	1	0	0.00	0.27	0.27	0.00	0.27	Matches
213	Avery Patterson	us USA	DF	Houston Dash	23-301	2002	4	4	360	4.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
214	Gianna Paul	us USA	FW	Current	21-104	2004	3	1	71	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
215	Jayden Perry	us USA	DF	Portland Thorns	25-050	2001	4	2	219	2.4	0	2	2	0	0	0	0	0	0.00	0.82	0.82	0.00	0.82	Matches
216	Courtney Petersen	us USA	DF	Racing Louisville	28-165	1997	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
217	Alex Pfeiffer	us USA	MF	Bay FC	18-136	2007	4	4	270	3.0	2	2	4	2	0	0	0	0	0.67	0.67	1.33	0.67	1.33	Matches
218	Carson Pickett	us USA	DF	Denver Summit	32-208	1993	5	5	421	4.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
219	Kiki Pickett	us USA	DF,MF	SD Wave	26-346	1999	4	0	113	1.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
220	Dayana Pierre-Louis	ht HAI	MF	Royals	22-199	2003	4	3	250	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
221	Brianna Pinto	us USA	MF,FW	Chicago Stars	25-322	2000	4	4	323	3.6	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
222	Gabi Portilho	br BRA	FW	SD Wave	30-267	1995	5	2	210	2.3	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
223	Lara Prašnikar	si SVN	MF,FW	Royals	27-246	1998	4	3	244	2.7	2	0	2	1	1	1	1	0	0.74	0.00	0.74	0.37	0.37	Matches
224	Nichelle Prince	ca CAN	MF,DF	Boston Legacy	31-051	1995	4	3	240	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
225	Sarah Puntigam	at AUT	DF,MF	Houston Dash	33-180	1992	3	0	55	0.6	1	0	1	0	1	1	0	0	1.64	0.00	1.64	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
226	Margaret Purce	us USA	FW,DF	Gotham FC	30-205	1995	4	2	228	2.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
227	Reagan Raabe	us USA	FW	Orlando Pride	24-196	2001	1	0	15	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
228	Kat Rader	us USA	MF	Houston Dash	21-285	2004	4	4	334	3.7	2	1	3	1	1	1	0	0	0.54	0.27	0.81	0.27	0.54	Matches
229	Rafaelle	br BRA	DF	Orlando Pride	34-297	1991	4	3	265	2.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
230	Brittany Ratcliffe	us USA	MF	Reign	32-063	1994	5	1	137	1.5	2	0	2	2	0	0	0	0	1.31	0.00	1.31	1.31	1.31	Matches
231	Felicitas Rauch	de GER	DF	NC Courage	29-346	1996	3	1	64	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
232	Lilly Reale	us USA	DF	Gotham FC	22-242	2003	5	5	450	5.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
233	KK Ream	us USA	FW	Royals	16-277	2009	1	0	8	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
234	Emma Regan	ca CAN	MF	Denver Summit	26-073	2000	3	2	138	1.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
235	Megan Reid	us USA	DF	Denver Summit	30-002	1996	5	3	280	3.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
236	Reyna Reyes	mx MEX	DF	Portland Thorns	25-054	2001	3	3	236	2.6	0	0	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
237	Chloe Ricketts	us USA	MF	Boston Legacy	18-323	2007	1	0	7	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
238	Kaleigh Riehl	us USA	DF	Royals	29-172	1996	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
239	Gabrielle Robinson	us USA	DF	Current	24-297	2001	4	4	350	3.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
240	Trinity Rodman	us USA	MF	Washington Spirit	23-326	2002	5	5	419	4.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
241	Izzy Rodriguez	us USA	DF	Current	26-363	1999	5	5	450	5.0	0	1	1	0	0	0	0	0	0.00	0.20	0.20	0.00	0.20	Matches
242	Raquel Rodríguez	cr CRC	FW,MF	Current	32-165	1993	2	0	52	0.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
243	Samantha Rose Smith	us USA	DF,MF	Boston Legacy	24-339	2001	3	3	263	2.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
244	Laney Rouse	us USA	DF	Current	23-223	2002	2	1	92	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
245	Yazmeen Ryan	us USA	MF	Denver Summit	27-045	1999	4	4	353	3.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
246	Yazmeen Ryan	us USA	FW,MF	Houston Dash	27-045	1999	1	0	34	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
247	Emily Sams	us USA	DF	Angel City FC	26-284	1999	4	4	332	3.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
248	Ashley Sanchez	us USA	MF,FW	NC Courage	27-026	1999	4	4	360	4.0	3	0	3	3	0	0	0	0	0.75	0.00	0.75	0.75	0.75	Matches
249	Leicy Santos	co COL	MF	Washington Spirit	29-330	1996	5	4	341	3.8	1	0	1	1	0	0	0	0	0.26	0.00	0.26	0.26	0.26	Matches
250	Ally Schlegel	us USA	FW,MF	NC Courage	26-063	2000	2	0	46	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
251	Sydney Schmidt	us USA	MF	NC Courage	18-076	2008	2	1	72	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
252	Sarah Schupansky	us USA	FW,MF	Gotham FC	22-229	2003	4	3	191	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
253	Katie Scott	us USA	MF	Current	18-295	2007	4	4	325	3.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
254	Emma Sears	us USA	MF,FW	Racing Louisville	25-047	2001	3	3	250	2.8	1	2	3	1	0	0	1	0	0.36	0.72	1.08	0.36	1.08	Matches
255	Ally Sentnor	us USA	FW,MF	Current	22-052	2004	5	5	403	4.5	1	1	2	1	0	0	0	0	0.22	0.22	0.45	0.22	0.45	Matches
256	Kayla Sharples	us USA	DF	Current	28-298	1997	5	4	381	4.2	0	1	1	0	0	0	1	0	0.00	0.24	0.24	0.00	0.24	Matches
257	Jaedyn Shaw	us USA	MF,FW	Gotham FC	21-142	2004	2	2	135	1.5	1	0	1	1	0	0	0	0	0.67	0.00	0.67	0.67	0.67	Matches
258	Delanie Sheehan	us USA	MF	Denver Summit	27-088	1999	3	3	270	3.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
259	Kailen Sheridan	ca CAN	GK	NC Courage	30-269	1995	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
260	Uno Shiragaki	jp JPN	DF	NC Courage	20-182	2005	3	2	185	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
261	Evelyn Shores	us USA	DF	Angel City FC	21-103	2004	4	3	271	3.0	1	1	2	1	0	0	1	0	0.33	0.33	0.66	0.33	0.66	Matches
262	Jordan Silkowitz	us USA	GK	Bay FC	26-015	2000	4	4	360	4.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
263	Kameron Simmonds	jm JAM	DF	Royals	22-126	2003	4	2	171	1.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
264	Abby Smith	us USA	GK	Denver Summit	32-189	1993	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
265	Talia Sommer	il ISR	FW	Gotham FC	22-051	2004	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
266	Janine Sonis	ca CAN	DF,FW	Denver Summit	31-234	1994	4	4	296	3.3	0	1	1	0	0	0	0	1	0.00	0.30	0.30	0.00	0.30	Matches
267	Emily Sonnett	us USA	DF	Gotham FC	32-137	1993	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
268	Alexa Spaanstra	us USA	DF	Royals	26-069	2000	4	1	124	1.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
269	Alexa Spaanstra	us USA	MF	Portland Thorns	26-069	2000	1	0	6	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
270	Bianca St-Georges	ca CAN	DF	Boston Legacy	28-257	1997	3	3	256	2.8	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
271	Samantha Staab	us USA	DF	Chicago Stars	29-014	1997	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
272	Talia Staude	us USA	DF	NC Courage	24-356	2001	3	2	191	2.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
273	Katie Stengel	us USA	FW,MF	Gotham FC	34-041	1992	5	4	263	2.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
274	Ella Stevens	us USA	MF	Boston Legacy	28-121	1997	3	2	108	1.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
275	Taylor Suarez	us USA	MF	Angel City FC	20-258	2005	4	0	63	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
276	Andi Sullivan	us USA	MF	Washington Spirit	30-112	1995	2	0	16	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
277	Tâmara	br BRA	FW	Washington Spirit	22-334	2003	3	0	36	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
278	Mina Tanaka	jp JPN	MF	Royals	31-348	1994	3	2	210	2.3	2	0	2	1	1	1	1	0	0.86	0.00	0.86	0.43	0.43	Matches
279	Ana Tejada	es ESP	MF	Royals	23-313	2002	5	4	344	3.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
280	Olivia Thomas	us USA	FW	Denver Summit	20-360	2005	3	0	48	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
281	Gisele Thompson	us USA	DF	Angel City FC	20-130	2005	4	4	360	4.0	2	0	2	2	0	0	0	0	0.50	0.00	0.50	0.50	0.50	Matches
282	Lauryn Thompson	eng ENG	FW	NC Courage	18-158	2007	1	0	17	0.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
283	Janni Thomsen	dk DEN	DF	Royals	26-054	2000	5	3	240	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
284	Riley Tiernan	us USA	MF,FW	Angel City FC	23-148	2002	4	4	345	3.8	1	0	1	1	0	0	0	0	0.26	0.00	0.26	0.26	0.26	Matches
285	Pietra Tordin	us USA	FW,MF	Portland Thorns	22-012	2004	5	4	315	3.5	2	2	4	2	0	0	0	0	0.57	0.57	1.14	0.57	1.14	Matches
286	Aissata Traoré	ml MLI	FW	Boston Legacy	28-214	1997	4	3	304	3.4	1	0	1	1	0	0	1	0	0.30	0.00	0.30	0.30	0.30	Matches
287	Lou Tsé	ca CAN	DF	Washington Spirit	23-125	2002	2	0	27	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
288	Reilyn Turner	us USA	MF	Portland Thorns	23-176	2002	5	5	299	3.3	3	0	3	3	0	0	0	0	0.90	0.00	0.90	0.90	0.90	Matches
289	Linda Ullmark	us USA	MF	Houston Dash	19-355	2006	4	4	325	3.6	0	1	1	0	0	0	0	0	0.00	0.28	0.28	0.00	0.28	Matches
290	Amelia Van Zanten	jm JAM	DF	SD Wave	21-076	2005	5	5	337	3.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
291	Kiki Van Zanten	jm JAM	FW	Houston Dash	24-229	2001	4	3	279	3.1	4	0	4	4	0	0	2	0	1.29	0.00	1.29	1.29	1.29	Matches
292	Mary Vignola	us USA	DF	Portland Thorns	28-059	1998	5	5	392	4.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
293	Cortnee Vine	au AUS	FW,MF	NC Courage	28-002	1998	1	0	29	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
294	Holly Ward	ca CAN	MF	Reign	22-168	2003	2	1	90	1.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
295	Solai Washington	jm JAM	MF	Orlando Pride	20-192	2005	5	3	256	2.8	0	1	1	0	0	0	0	0	0.00	0.35	0.35	0.00	0.35	Matches
296	Ally Watt	us USA	FW	Denver Summit	29-030	1997	4	1	108	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
297	Dani Weatherholt	us USA	DF	NC Courage	32-025	1994	2	2	165	1.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
298	Sarah Weber	us USA	FW	Racing Louisville	23-056	2003	4	4	312	3.5	2	1	3	2	0	0	0	0	0.58	0.29	0.87	0.58	0.87	Matches
299	Kennedy Wesley	us USA	DF	SD Wave	25-034	2001	5	5	450	5.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
300	Ellie Wheeler	us USA	DF	Current	24-118	2001	4	4	360	4.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk 	Player 	Nation 	Pos 	Squad 	Age 	Born 	MP 	Starts 	Min 	90s 	Gls 	Ast 	G+A 	G-PK 	PK 	PKatt 	CrdY 	CrdR 	Gls 	Ast 	G+A 	G-PK 	G+A-PK 	Matches
301	Amelia White			Current			2	0	32	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
302	Taylor White	us USA	MF	Racing Louisville	21-353	2004	3	1	105	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
303	Carly Wickenheiser	us USA	MF,DF	NC Courage	29-036	1997	4	4	303	3.4	0	1	1	0	0	0	0	0	0.00	0.30	0.30	0.00	0.30	Matches
304	Kate Wiesner	us USA	DF	Washington Spirit	25-059	2001	3	3	225	2.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
305	Ryan Williams	us USA	MF,DF	NC Courage	30-047	1996	4	4	360	4.0	0	2	2	0	0	0	0	0	0.00	0.50	0.50	0.00	0.50	Matches
306	Sophia Wilson	us USA	FW	Portland Thorns	25-244	2000	5	2	248	2.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
307	Tatum Wynalda	us USA	MF	SD Wave	21-174	2004	3	0	9	0.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
308	Summer Yates	us USA	MF	Orlando Pride	25-298	2000	4	2	208	2.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
